index	monomial	coefficient
406	b^3*u^5*v^4	-0.00000000000000000e+00
407	b^3*u^6*v^3	-0.00000000000000000e+00
408	b^3*u^7*v^2	-0.00000000000000000e+00
409	b^3*u^8*v	0.00000000000000000e+00
410	b^3*u^9	-0.00000000000000000e+00
411	b^4*v^8	-0.00000000000000000e+00
412	b^4*u*v^7	-0.00000000000000000e+00
413	b^4*u^2*v^6	-0.00000000000000000e+00
414	b^4*u^3*v^5	-0.00000000000000000e+00
415	b^4*u^4*v^4	-0.00000000000000000e+00
416	b^4*u^5*v^3	-0.00000000000000000e+00
417	b^4*u^6*v^2	-0.00000000000000000e+00
418	b^4*u^7*v	0.00000000000000000e+00
419	b^4*u^8	-0.00000000000000000e+00
420	b^5*v^7	-0.00000000000000000e+00
421	b^5*u*v^6	-0.00000000000000000e+00
422	b^5*u^2*v^5	-0.00000000000000000e+00
423	b^5*u^3*v^4	-0.00000000000000000e+00
424	b^5*u^4*v^3	-0.00000000000000000e+00
425	b^5*u^5*v^2	0.00000000000000000e+00
426	b^5*u^6*v	0.00000000000000000e+00
427	b^5*u^7	0.00000000000000000e+00
428	b^6*v^6	-7.63819594747579989e-01
429	b^6*u*v^5	-1.87687751570245975e+00
430	b^6*u^2*v^4	9.56223433851499549e-01
431	b^6*u^3*v^3	-6.84698940988415328e-01
432	b^6*u^4*v^2	-1.91487506057718804e+00
433	b^6*u^5*v	0.00000000000000000e+00
434	b^6*u^6	0.00000000000000000e+00
435	b^7*v^5	7.86455611768617491e+00
436	b^7*u*v^4	-3.44069506723839114e+00
437	b^7*u^2*v^3	-3.64241647939724000e+00
438	b^7*u^3*v^2	-7.40390084966039463e+00
439	b^7*u^4*v	-5.54801080779733358e+00
440	b^7*u^5	0.00000000000000000e+00
441	b^8*v^4	6.23793467332763907e+00
442	b^8*u*v^3	-7.70488858345549144e-01
443	b^8*u^2*v^2	-2.49252099353425338e+00
444	b^8*u^3*v	-4.47739635756961629e+00
445	b^8*u^4	0.00000000000000000e+00
446	b^9*v^3	6.21706080496209701e+00
447	b^9*u*v^2	-1.30128939383141184e+00
448	b^9*u^2*v	-4.69245664792240902e+00
449	b^9*u^3	-1.35395804614673967e+01
450	b^10*v^2	8.72421508970772308e+00
451	b^10*u*v	8.23617352476891829e-01
452	b^10*u^2	-9.66633228504435493e+00
453	b^11*v	1.01859828875838758e+01
454	b^11*u	-1.32031826342923306e+01
455	b^12	-2.75390225230814800e-01
456	u*v^12	0.00000000000000000e+00
457	u^2*v^11	-0.00000000000000000e+00
458	u^3*v^10	-0.00000000000000000e+00
459	u^4*v^9	0.00000000000000000e+00
460	u^5*v^8	-0.00000000000000000e+00
461	u^6*v^7	-0.00000000000000000e+00
462	u^7*v^6	-0.00000000000000000e+00
463	u^8*v^5	0.00000000000000000e+00
464	u^9*v^4	-0.00000000000000000e+00
465	u^10*v^3	0.00000000000000000e+00
466	u^11*v^2	0.00000000000000000e+00
467	u^12*v	0.00000000000000000e+00
468	b*v^12	0.00000000000000000e+00
469	b*u*v^11	0.00000000000000000e+00
470	b*u^2*v^10	-0.00000000000000000e+00
471	b*u^3*v^9	-0.00000000000000000e+00
472	b*u^4*v^8	-0.00000000000000000e+00
473	b*u^5*v^7	-0.00000000000000000e+00
474	b*u^6*v^6	-0.00000000000000000e+00
475	b*u^7*v^5	-0.00000000000000000e+00
476	b*u^8*v^4	0.00000000000000000e+00
477	b*u^9*v^3	0.00000000000000000e+00
478	b*u^10*v^2	-0.00000000000000000e+00
479	b*u^11*v	-0.00000000000000000e+00
480	b*u^12	0.00000000000000000e+00
481	b^2*v^11	0.00000000000000000e+00
482	b^2*u*v^10	0.00000000000000000e+00
483	b^2*u^2*v^9	0.00000000000000000e+00
484	b^2*u^3*v^8	-0.00000000000000000e+00
485	b^2*u^4*v^7	-0.00000000000000000e+00
486	b^2*u^5*v^6	-0.00000000000000000e+00
487	b^2*u^6*v^5	-0.00000000000000000e+00
488	b^2*u^7*v^4	-0.00000000000000000e+00
489	b^2*u^8*v^3	0.00000000000000000e+00
490	b^2*u^9*v^2	-0.00000000000000000e+00
491	b^2*u^10*v	0.00000000000000000e+00
492	b^2*u^11	0.00000000000000000e+00
493	b^3*v^10	0.00000000000000000e+00
494	b^3*u*v^9	0.00000000000000000e+00
495	b^3*u^2*v^8	-0.00000000000000000e+00
496	b^3*u^3*v^7	-0.00000000000000000e+00
497	b^3*u^4*v^6	-0.00000000000000000e+00
498	b^3*u^5*v^5	-0.00000000000000000e+00
